"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.654250764E2,-3.382815399E0,1.896256714E0,9.096284180E0
3.654351164E2,-2.091001740E0,3.731440430E0,4.616998901E0
3.654451564E2,-2.264790344E-1,5.936804352E0,3.377127228E0
3.654551974E2,3.487747192E-1,4.181255035E0,5.887107697E0
3.654652374E2,-1.610351257E0,8.509803772E-1,1.173799072E1
3.654752774E2,-3.143612823E0,-8.002359009E-1,1.455932373E1
3.654853174E2,-1.832339630E0,2.093845825E0,1.159428955E1
3.654953574E2,5.577401733E-1,5.288053436E0,8.465944977E0
3.655053974E2,9.842033386E-1,5.620661774E0,8.391549683E0
3.655154374E2,-1.869612122E-1,3.642824707E0,8.646170197E0
3.655254774E2,-1.475631409E0,1.172362061E0,1.136167328E1
3.655355184E2,-1.634900208E0,1.289268951E0,1.202868622E1
3.655455584E2,-2.236349487E-1,3.722758484E0,9.077273712E0
3.655555984E2,5.810916138E-1,4.872517548E0,8.567134552E0
3.655656384E2,-1.628613281E-1,5.774392090E0,7.472610626E0
3.655756784E2,-1.597478027E0,4.392166443E0,9.961335297E0
3.655857184E2,-1.441203003E0,2.684068451E0,1.076875626E1
3.655957584E2,-1.366658020E-1,1.202898560E0,1.011087433E1
3.656057994E2,-3.053649902E-1,1.853445740E0,9.454339600E0
3.656158394E2,-6.926097107E-1,3.580853577E0,9.940678253E0
3.656258794E2,-1.235530701E0,4.821473694E0,9.347461853E0
3.656359194E2,-1.629960480E0,3.432811432E0,8.710087280E0
3.656459594E2,-5.228627014E-1,5.382806396E-1,9.143136749E0
3.656559994E2,4.812492371E-1,4.529580688E-1,1.078342575E1
3.656660394E2,5.852828979E-1,3.473975830E0,9.094637604E0
3.656760804E2,-3.182382202E-1,5.142256622E0,8.594228210E0
3.656861204E2,-1.587299194E0,4.625531158E0,7.793842621E0
3.656961604E2,-1.963017883E0,2.796784058E0,9.871522064E0
3.657062004E2,-1.079105988E0,2.714155884E0,9.795929260E0
3.657162404E2,-1.020278320E0,3.764671326E0,8.753197632E0
3.657262804E2,-1.830393677E0,2.904859314E0,9.278155975E0
3.657363204E2,-1.938468933E0,1.895807648E0,9.081165619E0
3.657463614E2,-8.737330627E-1,1.692380676E0,1.040486298E1
3.657564014E2,4.770579529E-1,3.860322418E0,9.822424164E0
3.657664413E2,7.394622803E-2,6.642137604E0,8.539591827E0
3.657764813E2,-9.747729492E-1,6.374643860E0,8.208929443E0
3.657865213E2,-5.010081482E-1,3.732937317E0,7.835755463E0
3.657965613E2,2.095642090E-2,2.189496918E0,7.771239624E0
3.658066023E2,7.879614258E-1,1.957030334E0,9.302405548E0
3.658166423E2,3.734733582E-1,4.752317505E0,8.777896271E0
3.658266823E2,-1.518143005E0,5.613476715E0,1.095197525E1
3.658367223E2,-2.030826874E0,3.413351898E0,1.206506058E1
3.658467623E2,-1.760938110E0,1.208736420E0,1.192120972E1
3.658568023E2,-3.255729675E-1,1.715283051E0,1.072340057E1
3.658668433E2,8.193960571E-1,4.496798859E0,8.385113068E0
3.658768833E2,4.649331665E-1,5.769751740E0,7.211104431E0
3.658869233E2,-8.080197144E-1,3.350332947E0,8.497229919E0
3.658969633E2,-2.160606995E0,7.081773376E-1,1.135912857E1
3.659070033E2,-1.402583313E0,8.232879639E-1,1.113848740E1
3.659170433E2,-2.110610962E-2,3.704646149E0,8.173902283E0
3.659270833E2,-5.722599792E-1,4.997956696E0,6.741530914E0
3.659371243E2,-1.311722260E0,3.991898804E0,7.943082275E0
3.659471643E2,-1.375489655E0,1.919907532E0,1.013991394E1
3.659572043E2,-1.616638184E0,2.056423645E0,1.147768204E1
3.659672443E2,-6.336323547E-1,3.435805206E0,9.681866455E0
3.659772843E2,4.037104797E-1,4.472549286E0,8.443042603E0
3.659873243E2,5.381309509E-1,4.558769989E0,9.088799744E0
3.659973653E2,7.307803345E-1,3.856729889E0,7.665709076E0
3.660074053E2,6.117778015E-1,3.763174438E0,6.958579559E0
3.660174453E2,3.703298950E-1,4.626728668E0,6.986271973E0
3.660274853E2,8.934919739E-1,4.911286926E0,8.757538605E0
