"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.707750487E2,4.816462580E1,1.156314751E1,5.146214310E2,4.858214378E0,8.478117790E1,8.001208274E0,8.001208274E0
1.717750468E2,4.816465701E1,1.156323647E1,5.145760526E2,4.858214378E0,8.448441984E1,8.001208274E0,8.001208274E0
1.727750456E2,4.816467227E1,1.156330602E1,5.145475097E2,4.376419544E0,9.514796389E1,8.001208274E0,8.001208274E0
1.737750434E2,4.816467800E1,1.156337698E1,5.145297140E2,4.626476288E0,9.005342824E1,8.001208274E0,8.001208274E0
1.747750428E2,4.816468329E1,1.156345015E1,5.145100816E2,4.638937950E0,8.976771460E1,8.001208274E0,8.001208274E0
1.757750405E2,4.816468427E1,1.156352161E1,5.144855415E2,4.626476288E0,9.325279813E1,8.001208274E0,8.001208274E0
1.767750394E2,4.816467676E1,1.156359355E1,5.144575992E2,4.609558582E0,9.549653577E1,8.001208274E0,8.001208274E0
1.777750384E2,4.816467814E1,1.156367523E1,5.144183853E2,4.193460941E0,9.764804536E1,8.001208274E0,8.001208274E0
1.787750365E2,4.816467423E1,1.156373999E1,5.143242661E2,3.954706430E0,9.889988243E1,6.000906205E0,6.000906205E0
1.797750356E2,4.816466793E1,1.156380802E1,5.141897199E2,4.065854549E0,9.892376077E1,6.000906205E0,6.000906205E0
1.807750342E2,4.816466097E1,1.156387038E1,5.140274006E2,3.954706430E0,9.667720910E1,6.000906205E0,6.000906205E0
1.817750325E2,4.816465356E1,1.156391978E1,5.138565910E2,3.723160267E0,9.606667898E1,6.000906205E0,6.000906205E0
1.827750314E2,4.816464291E1,1.156394105E1,5.137254720E2,3.667133331E0,9.570171465E1,8.001208274E0,8.001208274E0
1.837750300E2,4.816463470E1,1.156396718E1,5.136410588E2,3.809962511E0,9.488842353E1,8.001208274E0,8.001208274E0
1.847750287E2,4.816463411E1,1.156402040E1,5.135881228E2,3.809962511E0,9.501252124E1,8.001208274E0,8.001208274E0
1.857750267E2,4.816462913E1,1.156408314E1,5.135088363E2,3.645482540E0,9.579512432E1,4.000604137E0,4.000604137E0
1.867750257E2,4.816463036E1,1.156414683E1,5.135009077E2,3.550427914E0,9.341049354E1,4.000604137E0,4.000604137E0
1.877750237E2,4.816463033E1,1.156421280E1,5.135001148E2,3.000156403E0,8.983850951E1,4.000604137E0,4.000604137E0
1.887750226E2,4.816462615E1,1.156426404E1,5.133505665E2,2.878803253E0,9.488903825E1,4.000604137E0,4.000604137E0
1.897750212E2,4.816462177E1,1.156431804E1,5.131695533E2,2.878803253E0,1.022980860E2,4.000604137E0,4.000604137E0
1.907750200E2,4.816461326E1,1.156436816E1,5.129764947E2,2.666157484E0,9.187963641E1,8.001208274E0,8.001208274E0
1.917750179E2,4.816460411E1,1.156439571E1,5.128677602E2,1.689854026E0,9.334063437E1,8.001208274E0,8.001208274E0
1.927750171E2,4.816458989E1,1.156440231E1,5.127860249E2,1.208449841E0,1.130889516E2,8.001208274E0,8.001208274E0
1.937750156E2,4.816456442E1,1.156441662E1,5.127329173E2,5.896909237E-1,1.153109282E2,8.001208274E0,8.001208274E0
1.947750142E2,4.816454458E1,1.156445099E1,5.126837162E2,5.896909237E-1,1.176535738E2,8.001208274E0,8.001208274E0
1.957750125E2,4.816451022E1,1.156445961E1,5.126180416E2,5.896909237E-1,1.479791220E2,8.001208274E0,8.001208274E0
1.967750109E2,4.816448205E1,1.156445452E1,5.125739010E2,6.139021516E-1,1.726415827E2,8.001208274E0,8.001208274E0
1.977750101E2,4.816445368E1,1.156442799E1,5.125461409E2,1.311243296E0,1.924056913E2,8.001208274E0,8.001208274E0
1.987750083E2,4.816443086E1,1.156442553E1,5.125579218E2,2.701213598E0,1.943526367E2,4.000604137E0,4.000604137E0
1.997750071E2,4.816439265E1,1.156440233E1,5.125640987E2,3.359801054E0,1.944174552E2,4.000604137E0,4.000604137E0
2.007750052E2,4.816434874E1,1.156437323E1,5.126174507E2,3.359801054E0,1.960077691E2,4.000604137E0,4.000604137E0
2.017750033E2,4.816430503E1,1.156435307E1,5.126629959E2,3.973920107E0,1.964864561E2,4.000604137E0,4.000604137E0
2.027750032E2,4.816425537E1,1.156432399E1,5.126637601E2,4.472948551E0,1.927485121E2,4.000604137E0,4.000604137E0
2.037750012E2,4.816420163E1,1.156429292E1,5.126410399E2,5.043795109E0,1.956094871E2,4.000604137E0,4.000604137E0
2.047749993E2,4.816413882E1,1.156427610E1,5.125759261E2,5.043795109E0,1.868241290E2,4.000604137E0,4.000604137E0
2.057749984E2,4.816408626E1,1.156426073E1,5.125076166E2,5.009759426E0,1.924732282E2,4.000604137E0,4.000604137E0
2.067749969E2,4.816404329E1,1.156423479E1,5.125007857E2,4.816825390E0,1.939540132E2,4.000604137E0,4.000604137E0
2.077749954E2,4.816400373E1,1.156420859E1,5.125001026E2,4.711024284E0,1.933587076E2,4.000604137E0,4.000604137E0
2.087749943E2,4.816396565E1,1.156418915E1,5.125000343E2,4.216301918E0,1.939519778E2,8.001208274E0,8.001208274E0
2.097749931E2,4.816392838E1,1.156416720E1,5.125000275E2,4.534438610E0,1.924452654E2,1.200181241E1,1.200181241E1
2.107749910E2,4.816388735E1,1.156414822E1,5.125000268E2,4.534438610E0,1.966348351E2,1.200181241E1,1.200181241E1
